,DOC_NO,SENT_NO,TEXT,0,1,2,3,4,5,6,7,8
10,ru_pud-ud-test_n01010,n01010042,"«Был момент, — сказал господин Панвалкар, — когда он чувствовал, что они должны покинуть здание».","«Был момент, — сказал господин Панвалкар, — когда он чувствовал, что они должны покинуть здание»",,,,,,,,
11,ru_pud-ud-test_n01011,n01011004,"Ей также предъявлено обвинение в покушении на убийство ее двухлетней дочери. По сообщению полиции, она убила Андре Прайса III, прижав его лицо к надувному матрасу в гостиной перед попыткой сделать то же самое с ее дочерью Энджел. Так или иначе, я попаду в тюрьму, надеюсь, это стоило сделать.",Ей также предъявлено обвинение в покушении на убийство ее двухлетней дочери," По сообщению полиции, она убила Андре Прайса III, прижав его лицо к надувному матрасу в гостиной перед попыткой сделать то же самое с ее дочерью Энджел"," Так или иначе, я попаду в тюрьму, надеюсь, это стоило сделать",,,,,,
12,ru_pud-ud-test_n01012,n01012003,"Первой начала плакать одна из езидских женщин, а затем один из ее друзей.","Первой начала плакать одна из езидских женщин, а затем один из ее друзей",,,,,,,,
13,ru_pud-ud-test_n01013,n01013005,"Г-н Осборн поступил на работу в агентство спикеров США после того, как его уволили в июле.","Г-н Осборн поступил на работу в агентство спикеров США после того, как его уволили в июле",,,,,,,,
14,ru_pud-ud-test_n01014,n01014003,"Майкл Фэллон заявил, что назначение даты закладки первого корабля будет способствовать притоку новых инвестиций и сохранит сотни квалифицированных рабочих мест до 2035 года. Обещание новых заказов Королевского флота для обеспечения судостроительной промышленности Клайда было сделано до шотландского референдума о независимости в 2014 году.","Майкл Фэллон заявил, что назначение даты закладки первого корабля будет способствовать притоку новых инвестиций и сохранит сотни квалифицированных рабочих мест до 2035 года", Обещание новых заказов Королевского флота для обеспечения судостроительной промышленности Клайда было сделано до шотландского референдума о независимости в 2014 году,,,,,,,
15,ru_pud-ud-test_n01015,n01015033,"Это наиболее очевидно, когда имя знаменитости изначально довольно редкое. И к 2007 году на пике своей популярности (и, возможно, популярности Найтли) это имя вошло в число 50 самых популярных имён, и втрое больше детей получили имя Кира (Keira, а не Kiera).","Это наиболее очевидно, когда имя знаменитости изначально довольно редкое"," И к 2007 году на пике своей популярности (и, возможно, популярности Найтли) это имя вошло в число 50 самых популярных имён, и втрое больше детей получили имя Кира (Keira, а не Kiera)",,,,,,,
16,ru_pud-ud-test_n01016,n01016014,"Южнокорейская компания первоначально думала, что причиной проблемы стала неисправность батареи, и поменяла свой компонент на элемент питания, производимый другим производителем. Некоторые аналитики полагают, что Huawei лучше всего позиционирован, чтобы извлечь выгоду из неудачи Samsung. В телефонах типа Мате 9 не хватает интерфейса искусственного интеллекта, как Google Assistant или Siri от компании Apple.","Южнокорейская компания первоначально думала, что причиной проблемы стала неисправность батареи, и поменяла свой компонент на элемент питания, производимый другим производителем"," Некоторые аналитики полагают, что Huawei лучше всего позиционирован, чтобы извлечь выгоду из неудачи Samsung"," В телефонах типа Мате 9 не хватает интерфейса искусственного интеллекта, как Google Assistant или Siri от компании Apple",,,,,,
17,ru_pud-ud-test_n01017,n01017005,"Однако один из экспертов индустрии путешествий отметил, что интернет в самолетах часто является ненадежным и вряд ли окажет влияние на выбор авиакомпании путешественниками. Но возможно, BA и IAG добились успеха и могут предложить что-то хоть сколько-нибудь надежное.","Однако один из экспертов индустрии путешествий отметил, что интернет в самолетах часто является ненадежным и вряд ли окажет влияние на выбор авиакомпании путешественниками"," Но возможно, BA и IAG добились успеха и могут предложить что-то хоть сколько-нибудь надежное",,,,,,,
18,ru_pud-ud-test_n01017,n01017013,"По мнению большинства людей, наличие Wi-Fi в аэропорту является более важным, чем возможность отправлять сообщения по электронной почте на борту самолета.","По мнению большинства людей, наличие Wi-Fi в аэропорту является более важным, чем возможность отправлять сообщения по электронной почте на борту самолета",,,,,,,,
19,ru_pud-ud-test_n01018,n01018024,Это иногда похоже на супердержаву. Эта структура делает деньги за счет спонсорства и рекламы.,Это иногда похоже на супердержаву, Эта структура делает деньги за счет спонсорства и рекламы,,,,,,,
20,ru_pud-ud-test_n01019,n01019004,"10-недельный курс был «сертифицирован» спецслужбой «Центр правительственной связи» (ЦПС) Великобритании. Но некоторые эксперты по безопасности подняли вопрос о необходимости курса и о намерениях, стоящих за этим.",10-недельный курс был «сертифицирован» спецслужбой «Центр правительственной связи» (ЦПС) Великобритании," Но некоторые эксперты по безопасности подняли вопрос о необходимости курса и о намерениях, стоящих за этим",,,,,,,
21,ru_pud-ud-test_n01020,n01020004,"Ранее самолеты видели только блогеры. Разумеется, Китай на этой неделе продемонстрирует множество другой военной техники от ударных вертолетов до самолетов-амфибий. И поскольку Китай намерен в ближайшее десятилетие стать крупнейшим поставщиком авиационной техники, то для Пекина это шоу представляет возможность продемонстрировать свои амбиции не только в военной, но и в гражданской авиации.",Ранее самолеты видели только блогеры," Разумеется, Китай на этой неделе продемонстрирует множество другой военной техники от ударных вертолетов до самолетов-амфибий"," И поскольку Китай намерен в ближайшее десятилетие стать крупнейшим поставщиком авиационной техники, то для Пекина это шоу представляет возможность продемонстрировать свои амбиции не только в военной, но и в гражданской авиации",,,,,,
22,ru_pud-ud-test_n01021,n01021007,"К сожалению, как это бывает, из-за опасных действий нескольких человек ресурс закрыли для всех, пишет Джесси LaBrocca, основательница Hack Forums, в сообщении, объясняющем, почему раздел был закрыт. Под «последними событиями», очевидно, понимают атаки 21 октября, в результате которых временно отключились популярные веб-сайты, такие как Reddit, Twitter, Spotify и многие другие.","К сожалению, как это бывает, из-за опасных действий нескольких человек ресурс закрыли для всех, пишет Джесси LaBrocca, основательница Hack Forums, в сообщении, объясняющем, почему раздел был закрыт"," Под «последними событиями», очевидно, понимают атаки 21 октября, в результате которых временно отключились популярные веб-сайты, такие как Reddit, Twitter, Spotify и многие другие",,,,,,,
23,ru_pud-ud-test_n01022,n01022002,"Обзор ООН по национальным планам сокращения выбросов CO2 показывает, что они крайне недостаточны для того, чтобы удержать глобальное потепление в пределах менее 2 градусов. Многие ученые говорят, что для выполнения Парижских соглашений скоро потребуется технология извлечения углерода из воздуха.","Обзор ООН по национальным планам сокращения выбросов CO2 показывает, что они крайне недостаточны для того, чтобы удержать глобальное потепление в пределах менее 2 градусов"," Многие ученые говорят, что для выполнения Парижских соглашений скоро потребуется технология извлечения углерода из воздуха",,,,,,,
24,ru_pud-ud-test_n01022,n01022016,Инвестиции в эту область в 2015 году выросли на 6% и достигли 221 миллиарда долларов США.,Инвестиции в эту область в 2015 году выросли на 6% и достигли 221 миллиарда долларов США,,,,,,,,
25,ru_pud-ud-test_n01023,n01023020,"Он проводился недалеко от Мексиканского побережья с апреля по июнь. Это позволит установить новые ограничения на характер изменений окружающей среды, которые происходили на Земле и отправили так много видов, не только динозавров, в небытие. Признаком этого метеоритного материала, вероятно, будет высокий уровень содержания иридия.",Он проводился недалеко от Мексиканского побережья с апреля по июнь," Это позволит установить новые ограничения на характер изменений окружающей среды, которые происходили на Земле и отправили так много видов, не только динозавров, в небытие"," Признаком этого метеоритного материала, вероятно, будет высокий уровень содержания иридия",,,,,,
26,ru_pud-ud-test_n01024,n01024010,"Через 17 дней чуть более 70% растений, выращенных из семян с Земли, остались живыми, что лишь немного превысило 66-процентное количество оставшихся живыми растений, выращенных из семян из космоса. Результаты этого эксперимента обеспечивают дальнейшее подтверждение возможности доставлять ракетой семена рокет-салата на Международную космическую станцию и хранить их там в течение шести месяцев без какого-либо существенного воздействия на их способность к прорастанию и росту на Земле.","Через 17 дней чуть более 70% растений, выращенных из семян с Земли, остались живыми, что лишь немного превысило 66-процентное количество оставшихся живыми растений, выращенных из семян из космоса", Результаты этого эксперимента обеспечивают дальнейшее подтверждение возможности доставлять ракетой семена рокет-салата на Международную космическую станцию и хранить их там в течение шести месяцев без какого-либо существенного воздействия на их способность к прорастанию и росту на Земле,,,,,,,
27,ru_pud-ud-test_n01025,n01025025,"«Самой идее покупать и носить части тела других людей присуще нечто неприятное, отвратительное, скверное», – говорит она. «В Китае волосы, как правило, помещают в химическую ванну, чтобы полностью удалить кутикулу», — объясняет Тарло.","«Самой идее покупать и носить части тела других людей присуще нечто неприятное, отвратительное, скверное», – говорит она"," «В Китае волосы, как правило, помещают в химическую ванну, чтобы полностью удалить кутикулу», — объясняет Тарло",,,,,,,
28,ru_pud-ud-test_n01026,n01026004,"«Сегодня вечером для наказания будет использован дальний свет», — написано на плакате. Дорожная полиция Шэньчжэня ранее уже прибегала к нетрадиционным наказаниям.","«Сегодня вечером для наказания будет использован дальний свет», — написано на плакате", Дорожная полиция Шэньчжэня ранее уже прибегала к нетрадиционным наказаниям,,,,,,,
29,ru_pud-ud-test_n01027,n01027007,Кто они? В этом году демократы больше всего говорили об идентичности белых мужчин.,Кто они? В этом году демократы больше всего говорили об идентичности белых мужчин,,,,,,,,
30,ru_pud-ud-test_n01027,n01027049,Не все могут быть выше этого.,Не все могут быть выше этого,,,,,,,,
31,ru_pud-ud-test_n01028,n01028022,"«К счастью, кто-то в Sony Australia сказал: „Эй, ребята, а это вы, между прочим, заметили?“», — говорит Пэлл.","«К счастью, кто-то в Sony Australia сказал: „Эй, ребята, а это вы, между прочим, заметили?“», — говорит Пэлл",,,,,,,,
32,ru_pud-ud-test_n01029,n01029006,"Сигал попал в заголовки, когда он описал действия России в Крыму, аннексированном в 2014 году, как «очень разумные». Будучи страстным гитаристом, он играл там концерт в том же году. Ранее в этом году Сигал получил сербское гражданство, предложив создать школу боевых искусств в Белграде. Сигал, чья бабушка была из Владивостока — города на Дальнем Востоке России, совершал частые поездки в Россию в последние годы и в сентябре побывал на Камчатке и Сахалине.","Сигал попал в заголовки, когда он описал действия России в Крыму, аннексированном в 2014 году, как «очень разумные»"," Будучи страстным гитаристом, он играл там концерт в том же году"," Ранее в этом году Сигал получил сербское гражданство, предложив создать школу боевых искусств в Белграде"," Сигал, чья бабушка была из Владивостока — города на Дальнем Востоке России, совершал частые поездки в Россию в последние годы и в сентябре побывал на Камчатке и Сахалине",,,,,
33,ru_pud-ud-test_n01030,n01030005,"Представитель полиции сообщил агентству Associated Press, что там произошел «обмен репликами», за которым последовала «перебранка», но ни о каких телесных повреждениях не было доложено. Куарон, чьим последним фильмом была оскароносная «Гравитация», как сообщается, был не на съемочной площадке во время инцидента.","Представитель полиции сообщил агентству Associated Press, что там произошел «обмен репликами», за которым последовала «перебранка», но ни о каких телесных повреждениях не было доложено"," Куарон, чьим последним фильмом была оскароносная «Гравитация», как сообщается, был не на съемочной площадке во время инцидента",,,,,,,
34,ru_pud-ud-test_n01031,n01031005,Исследователи изучают потенциал мужских гормональных контрацептивов в течение около 20 лет. Он добавил: «Это один шаг в долгом путешествии с целью найти правильное сочетание для мужской гормональной контрацепции».,Исследователи изучают потенциал мужских гормональных контрацептивов в течение около 20 лет, Он добавил: «Это один шаг в долгом путешествии с целью найти правильное сочетание для мужской гормональной контрацепции»,,,,,,,
35,ru_pud-ud-test_n01032,n01032032,"Однако есть много депутатов законодательного собрания с глубоко религиозными верованиями, которые выступают против любого нового законодательства.","Однако есть много депутатов законодательного собрания с глубоко религиозными верованиями, которые выступают против любого нового законодательства",,,,,,,,
36,ru_pud-ud-test_n01033,n01033005,"Исследователи говорят, что анализ ДНК опухоли может помочь объяснить основные причины других видов рака. Анализ показывает прямую связь между количеством сигарет, выкуренных в течение жизни, и числом мутаций в ДНК опухоли. Г-жа Пью получила лечение в больницах Папворт и Адденбрук в Кембридже. При этом они не смогли найти такую же картину в тканях, таких как мочевой пузырь, которые непосредственно не подвергаются действию сигарет.","Исследователи говорят, что анализ ДНК опухоли может помочь объяснить основные причины других видов рака"," Анализ показывает прямую связь между количеством сигарет, выкуренных в течение жизни, и числом мутаций в ДНК опухоли", Г-жа Пью получила лечение в больницах Папворт и Адденбрук в Кембридже," При этом они не смогли найти такую же картину в тканях, таких как мочевой пузырь, которые непосредственно не подвергаются действию сигарет",,,,,
37,ru_pud-ud-test_n01034,n01034033,"Если Дональд Трамп станет президентом, то правительству здесь все равно придется работать с ним, чтобы продвигаться вперед, какой бы ни была общая программа, и гарантировать, что канадские предприятия и интересы представлены в Вашингтоне. Трюдо пригласит и 45-го президента Соединенных Штатов, кто бы им ни стал.","Если Дональд Трамп станет президентом, то правительству здесь все равно придется работать с ним, чтобы продвигаться вперед, какой бы ни была общая программа, и гарантировать, что канадские предприятия и интересы представлены в Вашингтоне"," Трюдо пригласит и 45-го президента Соединенных Штатов, кто бы им ни стал",,,,,,,
38,ru_pud-ud-test_n01035,n01035004,"Несмотря на обнародование фотографии сегодняшним утром, полиция в Британской Колумбии говорит, что они имеют больше вопросов, чем ответов о мужчине, который, по-видимому, не имеет определенного места жительства и обвиняется в нанесении смертельного ножевого ранения девочке-ученице в средней школе города Эбботсфорд. Полиция в Британской Колумбии сказала, что ранее у Кляйна, похоже, не было судимости, и сообщила туманные сведения о его последнем местонахождении.","Несмотря на обнародование фотографии сегодняшним утром, полиция в Британской Колумбии говорит, что они имеют больше вопросов, чем ответов о мужчине, который, по-видимому, не имеет определенного места жительства и обвиняется в нанесении смертельного ножевого ранения девочке-ученице в средней школе города Эбботсфорд"," Полиция в Британской Колумбии сказала, что ранее у Кляйна, похоже, не было судимости, и сообщила туманные сведения о его последнем местонахождении",,,,,,,
39,ru_pud-ud-test_n01035,n01035030,"Он также сказал, что Кляйн был необщительным, отказался от сотрудничества и не желал подниматься из камеры под зданием суда, чтобы присутствовать на слушании.","Он также сказал, что Кляйн был необщительным, отказался от сотрудничества и не желал подниматься из камеры под зданием суда, чтобы присутствовать на слушании",,,,,,,,
40,ru_pud-ud-test_n01036,n01036002,"Ассоциация, которая представляет агентов по недвижимости в Онтарио, говорит, что нужно сделать больше, чтобы защитить потребителей и наказать агентов, о которых установлено, что они участвуют в неэтичном поведении. Он также выступает за то, чтобы Совет по недвижимости Онтарио (RECO), который регулирует работу агентов в провинции, был наделен большими правоприменительными и следственными полномочиями. В настоящее время максимальный размер штрафа, который Совет по недвижимости Онтарио (RECO) может наложить на агента, составляет 25000 долларов США.","Ассоциация, которая представляет агентов по недвижимости в Онтарио, говорит, что нужно сделать больше, чтобы защитить потребителей и наказать агентов, о которых установлено, что они участвуют в неэтичном поведении"," Он также выступает за то, чтобы Совет по недвижимости Онтарио (RECO), который регулирует работу агентов в провинции, был наделен большими правоприменительными и следственными полномочиями"," В настоящее время максимальный размер штрафа, который Совет по недвижимости Онтарио (RECO) может наложить на агента, составляет 25000 долларов США",,,,,,
41,ru_pud-ud-test_n01037,n01037020,"Но растущий средний класс Китая необычайно активен в своих жалобах по поводу токсичного воздуха в таких городах, как Пекин, в котором день за днем привычным является раздражающий легкие и удушающий смог.","Но растущий средний класс Китая необычайно активен в своих жалобах по поводу токсичного воздуха в таких городах, как Пекин, в котором день за днем привычным является раздражающий легкие и удушающий смог",,,,,,,,
42,ru_pud-ud-test_n01038,n01038021,"«Мы видим, что очень многие страны, и особенно новые крупные эмитенты, например Бразилия, Южная Африка, Индия и Китай, проявляют инициативу, играя роль в сокращении выбросов», — сказал Гилбо. Он может также подождать до конца своего первого срока, чтобы использовать положение Парижского соглашения для выхода из договора.","«Мы видим, что очень многие страны, и особенно новые крупные эмитенты, например Бразилия, Южная Африка, Индия и Китай, проявляют инициативу, играя роль в сокращении выбросов», — сказал Гилбо"," Он может также подождать до конца своего первого срока, чтобы использовать положение Парижского соглашения для выхода из договора",,,,,,,
43,ru_pud-ud-test_n01039,n01039013,"Клинтон и союзники тем временем стремятся удерживать внимание общественности на Трампе, обвиняя его в том, что пренебрежительные замечания по поводу женщин и меньшинств, а также его темперамент делают его непригодным для должности. Это не то, что нужно нашей стране, ребята. Жена Трампа, Мелания Трамп, появилась впервые перед избирателями после съезда Республиканской партии в июле.","Клинтон и союзники тем временем стремятся удерживать внимание общественности на Трампе, обвиняя его в том, что пренебрежительные замечания по поводу женщин и меньшинств, а также его темперамент делают его непригодным для должности"," Это не то, что нужно нашей стране, ребята"," Жена Трампа, Мелания Трамп, появилась впервые перед избирателями после съезда Республиканской партии в июле",,,,,,
44,ru_pud-ud-test_n01040,n01040028,"Ученики, как и Раи, встречаются с психологами в школе, чтобы обсудить, что произошло, но она сказала, что самое большое утешение — встречи с друзьями.","Ученики, как и Раи, встречаются с психологами в школе, чтобы обсудить, что произошло, но она сказала, что самое большое утешение — встречи с друзьями",,,,,,,,
45,ru_pud-ud-test_n01041,n01041006,"«Это катастрофа для пациентов с болями», — сказал Майлис в интервью с CBC News в четверг. «У врачей нет таких инструментов, у них есть только блок рецептов и инъекции», — сказал Майлис.","«Это катастрофа для пациентов с болями», — сказал Майлис в интервью с CBC News в четверг"," «У врачей нет таких инструментов, у них есть только блок рецептов и инъекции», — сказал Майлис",,,,,,,
46,ru_pud-ud-test_n01042,n01042004,"Директор службы Независимой проверки полиции Онтарио, Джерри МакНейлли, установил условия для проведения им проверки на этой неделе, после того как были подняты «тревожные вопросы» о том, как сотрудники взаимодействуют с коренными народами. Обзор также исследует сентябрские провокационные сообщения в Facebook, предположительно поступавшие от сотрудников полиции города северного Онтарио.","Директор службы Независимой проверки полиции Онтарио, Джерри МакНейлли, установил условия для проведения им проверки на этой неделе, после того как были подняты «тревожные вопросы» о том, как сотрудники взаимодействуют с коренными народами"," Обзор также исследует сентябрские провокационные сообщения в Facebook, предположительно поступавшие от сотрудников полиции города северного Онтарио",,,,,,,
